0;0;0;0;0;0;0;0;0;0;0;0;0;
80055;Vattugatan;80055;59,3294297836;18,0607789979;A;BUSTERM;0,0003874507;7469350;Vattugatan;59,3297124652;18,0610439681;1003;1
80200;Vattugatan;80055;59,3299947245;18,0613436424;A;BUSTERM;0,0004116734;7469350;Vattugatan;59,3297124652;18,0610439681;1003;0
10384;Tegelbacken;10383;59,3284968149;18,0622811564;A;BUSTERM;7,09917027488254E-005;7446083;Tegelbacken;59,3285406581;18,0623369919;1004;1
10383;Tegelbacken;10383;59,3284575933;18,0624718565;A;BUSTERM;0,0001583926;7446083;Tegelbacken;59,3285406581;18,0623369919;1004;0
10831;Tegelbacken;10383;59,3285000096;18,0626152518;A;BUSTERM;0,0002812133;7446083;Tegelbacken;59,3285406581;18,0623369919;1004;0
10832;Tegelbacken;10383;59,3285997351;18,0620419606;A;BUSTERM;0,0003008879;7446083;Tegelbacken;59,3285406581;18,0623369919;1004;0
10286;Kungsgatan;10286;59,3333188134;18,0570998769;A;BUSTERM;0,0001415119;7446064;Kungsgatan;59,3333480551;18,0569614192;1005;1
10287;Kungsgatan;10286;59,3333774826;18,056822554;A;BUSTERM;0,0001419491;7446064;Kungsgatan;59,3333480551;18,0569614192;1005;0
10021;Vasagatan;10020;59,3342136514;18,0572821183;A;BUSTERM;0,0008869192;7411701;Stockholm Vasagatan;59,3339407818;18,0564382179;1005;0
10508;Blekholmsterrassen;10507;59,3313767918;18,0520330192;A;BUSTERM;0,0003871723;7446118;Blekholmsterrassen;59,3310761621;18,0522769949;1006;1
10507;Blekholmsterrassen;10507;59,3307754153;18,0525381131;A;BUSTERM;0,0003982855;7446118;Blekholmsterrassen;59,3310761621;18,0522769949;1006;0
10100;Cityterminalen;10019;59,3331254246;18,0542574784;A;BUSTERM;9,12435517329811E-005;7401541;Stockholm Citytermin Kungsbron;59,33319618;18,0543150896;1007;1
10019;Cityterminalen;10019;59,3329953067;18,0545125062;A;BUSTERM;0,0002816442;7401541;Stockholm Citytermin Kungsbron;59,33319618;18,0543150896;1007;0
10066;Stureplan;10031;59,3363683519;18,0733669687;A;BUSTERM;0,0003874509;7445465;Stockholm Stureplan;59,3359927614;18,0732718371;1010;1
10116;Stureplan;10031;59,3353035358;18,0736651009;A;BUSTERM;0,0005326233;7421651;Östermalmstorg T-bana;59,334972903;18,0740826767;1010;0
10031;Stureplan;10031;59,3365316356;18,0732723902;A;BUSTERM;0,0005388744;7445465;Stockholm Stureplan;59,3359927614;18,0732718371;1010;0
10115;Stureplan;10031;59,3353742639;18,0732128283;A;BUSTERM;0,0009579805;7421651;Östermalmstorg T-bana;59,334972903;18,0740826767;1010;0
10029;Norrlandsgatan;10029;59,3363279831;18,0700070864;A;BUSTERM;3,60373316416384E-005;7445959;Norrlandsgatan;59,336292012;18,0700049022;1012;1
10030;Norrlandsgatan;10029;59,3361074046;18,0697814842;A;BUSTERM;0,0002898197;7445959;Norrlandsgatan;59,336292012;18,0700049022;1012;0
10165;Oxtorgsgatan;10164;59,3346564526;18,0659412357;A;BUSTERM;0,0007032443;7445958;Sveavägen;59,3346505961;18,0652380159;1013;1
10164;Oxtorgsgatan;10164;59,3349402359;18,0677001292;A;BUSTERM;0,0008944796;7446017;Oxtorgsgatan;59,3347487695;18,066826382;1013;0
10167;Hamngatan;10166;59,332196431;18,0685019142;A;BUSTERM;0,0003794147;7446018;Hamngatan;59,3325575578;18,0683855398;1014;1
