name;lat;lon;sa;id;gtfsid;gtfsname;gtfslat;gtfslon
T-Centralen;59331268;18061342;200101051;1000;7420749;T-Centralen T-bana;59.330946576895;18.059262909921
Vattugatan;59329398;18061890;200180055;1003;7469350;Vattugatan;59.329712465151;18.061043968132
Tegelbacken;59328427;18062546;200110383;1004;7446083;Tegelbacken;59.328540658107;18.062336991894
Kungsgatan;59332895;18057072;200110286;1005;7446064;Kungsgatan;59.333348055114;18.056961419232
Blekholmsterrassen;59331448;18052101;200110507;1006;7446118;Blekholmsterrassen;59.331076162093;18.052276994938
Cityterminalen (på Kungsbron);59333129;18054258;200110019;1007;7401541;Stockholm Citytermin Kungsbron;59.333196180034;18.054315089561
Hötorget (Olof Palmes gata);59336266;18061369;200111525;1009;7421667;Hötorget T-bana;59.335533127153;18.063538980594
Stureplan (på Sturegatan);59336626;18073423;200110031;1010;7445465;Stockholm Stureplan;59.335992761426;18.073271837104
Hötorget;59335610;18062960;200101111;1011;7421667;Hötorget T-bana;59.335533127153;18.063538980594
Norrlandsgatan;59336122;18070133;200110029;1012;7445959;Norrlandsgatan;59.336292012031;18.070004902206
Oxtorgsgatan;59334837;18067724;200110164;1013;7446017;Oxtorgsgatan;59.334748769507;18.066826381968
Hamngatan;59332931;18068291;200110166;1014;7446018;Hamngatan;59.3325575578;18.068385539826
Norrmalmstorg;59333668;18073342;200110102;1015;7445994;Stockholm Norrmalmstorg;59.333223626527;18.072946687344
Kungsträdgården (på Hamngatan);59332787;18071086;200104303;1016;7437355;Stockholm Kungsträdgården;59.332785906101;18.07126546227
Hötorget;59335610;18062960;200101111;1017;7421667;Hötorget T-bana;59.335533127153;18.063538980594
Hötorget;59335610;18062960;200101111;1018;7421667;Hötorget T-bana;59.335533127153;18.063538980594
Hötorget;59335610;18062960;200101111;1019;7421667;Hötorget T-bana;59.335533127153;18.063538980594
Kungsträdgården;59330935;18074286;200103031;1020;7421659;Kungsträdgården T-bana;59.330784032374;18.073293789425
Jakobsgatan;59331016;18068318;200110168;1021;7446019;Jakobsgatan;59.330679571251;18.068453979731
Gustav Adolfs torg;59330144;18067859;200110811;1022;7446197;Gustav Adolfs torg;59.329846144113;18.068873048611
Kungsträdgården;59330935;18074286;200103031;1023;7421659;Kungsträdgården T-bana;59.330784032374;18.073293789425
Nationalmuseum;59328526;18076974;200110327;1024;7410947;Stockholm Nationalmuseum;59.328313975951;18.077452113507
Östasiatiska museet;59326189;18081073;200110333;1025;7445460;Stockholm Östasiatiska museet;59.326315330073;18.08083306414
Arkitektur-/Moderna museet;59325182;18085604;200110329;1026;7445404;Stockholm Arkitekt/Moderna mus;59.325170060649;18.08521959857
Kungsträdgården;59330935;18074286;200103031;1027;7421659;Kungsträdgården T-bana;59.330784032374;18.073293789425
Kastellholmsbron;59324077;18087536;200110332;1028;7445457;Stockholm Kastellholmsbron;59.324078863036;18.087536131915
Tegnérgatan;59338891;18060299;200110544;1029;7446129;Tegnérgatan (Sveavägen);59.338894102656;18.060281569692
Stadsbiblioteket;59344599;18055193;200110188;1030;7446026;Stadsbiblioteket;59.344187172559;18.055375747913
Rådmansgatan;59340886;18057899;200101121;1031;7421666;Rådmansgatan T-bana;59.340572436376;18.058775537579
Rådmansgatan;59340212;18059095;200110543;1032;7421666;Rådmansgatan T-bana;59.340572436376;18.058775537579
Adolf Fredriks kyrka;59338145;18060982;200110541;1033;7446128;Adolf Fredriks kyrka;59.337723517834;18.061504731802
Döbelnsgatan;59342558;18060047;200110159;1034;7446013;Döbelnsgatan;59.342562194198;18.060032465245
Tegnérgatan;59340599;18062277;200110161;1035;7446014;Tegnérgatan (Döbelnsgatan);59.340601994993;18.062258150107
David Bagares gata;59337048;18065450;200110163;1036;7446016;David Bagares gata;59.337044858473;18.06543218831
Snickarbacken;59338037;18067113;200110162;1037;7446015;Snickarbacken;59.338039678421;18.067097846635
Rådmansgatan;59340886;18057899;200101121;1038;7421666;Rådmansgatan T-bana;59.340572436376;18.058775537579
Rådmansgatan;59340886;18057899;200101121;1039;7421666;Rådmansgatan T-bana;59.340572436376;18.058775537579
Norra Bantorget;59335277;18055310;200110284;1040;7446063;Norra Bantorget;59.334966107548;18.054783585522
Norra Bantorget;59335277;18055310;200110284;1041;7446063;Norra Bantorget;59.334966107548;18.054783585522
Wallingatan;59336158;18051661;200110274;1042;7446059;Wallingatan;59.335977105839;18.052916988996
Tegnérgatan;59337578;18049665;200110282;1043;7446062;Tegnérgatan (Dalagatan);59.337471936354;18.050590049563
Sabbatsbergs sjukhus;59338675;18048541;200110280;1044;7446061;Sabbatsbergs sjukhus;59.339025284636;18.048512860991
Observatoriegatan;59340788;18050294;200110581;1045;7446138;Observatoriegatan;59.34054348462;18.050564226972
Tegnérgatan (på Upplandsgatan);59338019;18053126;200110588;1046;7446140;Tegnérgatan (Västmannag);59.33806543311;18.052105740258
Norra Bantorget;59335277;18055310;200110284;1047;7446063;Norra Bantorget;59.334966107548;18.054783585522
Norra Bantorget;59335277;18055310;200110284;1048;7446063;Norra Bantorget;59.334966107548;18.054783585522
Norra Bantorget;59335277;18055310;200110284;1049;7446063;Norra Bantorget;59.334966107548;18.054783585522
Hälsingegatan;59342864;18043175;200110182;1050;7446024;Hälsingegatan;59.342796995807;18.043276566596
Hälsingegatan;59342864;18043175;200110182;1051;7446024;Hälsingegatan;59.342796995807;18.043276566596
Hälsingegatan;59342864;18043175;200110182;1052;7446024;Hälsingegatan;59.342796995807;18.043276566596
Vasaparken;59341282;18045988;200110278;1053;7446060;Vasaparken;59.341650299561;18.045732583175
Hälsingegatan;59342864;18043175;200110182;1054;7446024;Hälsingegatan;59.342796995807;18.043276566596
Hälsingegatan;59342864;18043175;200110182;1055;7446024;Hälsingegatan;59.342796995807;18.043276566596
Hälsingegatan;59342864;18043175;200110182;1056;7446024;Hälsingegatan;59.342796995807;18.043276566596
Hälsingegatan;59342864;18043175;200110182;1057;7446024;Hälsingegatan;59.342796995807;18.043276566596
Karlbergsvägen;59341929;18037359;200110179;1058;7446022;Karlbergsvägen;59.342220044089;18.037120847522
S:t Eriksgatan;59342630;18037485;200110180;1059;7446023;S:t Eriksgatan (på Karlbergsvä;59.342349780309;18.037410635996
Vanadisplan;59345237;18040514;200110761;1060;7446188;Vanadisplan;59.344953732274;18.040042868305
Rödabergsgatan;59343871;18035777;200110370;1061;7446076;Rödabergsgatan;59.343799750464;18.035589493005
Vanadisplan;59345237;18040514;200110761;1062;7446188;Vanadisplan;59.344953732274;18.040042868305
Vanadisplan;59345237;18040514;200110761;1063;7446188;Vanadisplan;59.344953732274;18.040042868305
Norra Stationsgatan;59342954;18029017;200110273;1064;7446058;Norra Stationsgatan (på Karlbe;59.343048745804;18.028560931209
Torsplan;59345615;18034302;200110359;1065;7446074;Torsplan;59.345425554897;18.032935809257
Norrbackagatan;59341012;18030491;200110176;1066;7446020;Norrbackagatan;59.340820579848;18.030735752375
Vikingagatan;59342289;18033242;200110178;1067;7446021;Vikingagatan;59.342234426185;18.03260379265
Vanadisplan;59345237;18040514;200110761;1068;7446188;Vanadisplan;59.344953732274;18.040042868305
Vanadisplan;59345237;18040514;200110761;1069;7446188;Vanadisplan;59.344953732274;18.040042868305
Sveaplan;59349363;18050654;200110225;1070;7446037;Sveaplan;59.349598583373;18.049843226082
Frejgatan;59346765;18053099;200110549;1071;7446131;Frejgatan (på Sveavägen);59.346323016188;18.053372032669
Wenner-Gren center;59350379;18048343;200110563;1072;7446134;Wenner-Gren center;59.350378627552;18.048347311229
Ynglingagatan;59349049;18045161;200110227;1073;7446039;Ynglingagatan;59.348980105132;18.045599994973
Norrtullsgatan;59346684;18046456;200110226;1074;7446038;Norrtullsgatan;59.346692975962;18.046486698352
Norrtull;59350262;18045539;200110553;1075;7446132;Norrtull;59.350086993814;18.045461902429
Vanadisvägen;59345893;18045458;200110231;1076;7446041;Vanadisvägen;59.345675206287;18.04457357122
Frejgatan;59344608;18046797;200110230;1077;7446040;Frejgatan (på Upplandsgatan);59.344397563084;18.046810149915
Norra Stationsgatan;59348527;18041125;200110759;1078;7446187;Norra Stationsgatan (på St Eri;59.348048817296;18.040738544063
Sveaplan;59349363;18050654;200110225;1079;7446037;Sveaplan;59.349598583373;18.049843226082
Tekniska högskolan;59346541;18069315;200102221;1080;7420750;Stockholm Östra station;59.346113260968;18.071713700373
Tekniska högskolan;59346541;18069315;200102221;1081;7420750;Stockholm Östra station;59.346113260968;18.071713700373
Tekniska högskolan;59346541;18069315;200102221;1082;7420750;Stockholm Östra station;59.346113260968;18.071713700373
Roslagsgatan;59345795;18061683;200110191;1083;7446027;Roslagsgatan;59.345485222058;18.06080641111
Roslagstull (på Valhallavägen);59349588;18060164;200167043;1084;7468690;Roslagstull (på Valhallavägen);59.349875573721;18.059813953337
Jarlaplan;59344743;18061639;200110107;1085;7445997;Jarlaplan;59.344440205966;18.06203811767
Engelbrektskyrkan;59343547;18066852;200110632;1086;7446152;Engelbrektskyrkan;59.343214491492;18.067477062162
Runebergsplan;59342073;18069891;200110489;1087;7446117;Runebergsplan;59.341720524565;18.070770600059
Tegnérgatan;59341704;18064794;200110110;1088;7445999;Tegnérgatan (Birger Jarlsg);59.341538620323;18.064693528084
Eriksbergsgatan;59339691;18067293;200110112;1089;7446000;Eriksbergsgatan;59.339619670653;18.067642346422
Roslagstull (på Ingemarsgatan);59349399;18058393;200110575;1090;7446136;Roslagstull (på Ingemarsgatan);59.349397562328;18.05837557743
Ruddammen;59352258;18058654;200110022;1091;7445957;Ruddammen;59.352219336784;18.058773552671
Surbrunnsgatan;59346298;18060101;200110105;1092;7445996;Surbrunnsgatan;59.346252941175;18.060030965784
Stickelbärsvägen;59349912;18064380;200110403;1093;7446091;Stickelbärsvägen;59.349965442832;18.064479648825
Körsbärsvägen;59347952;18065378;200110601;1094;7446146;Körsbärsvägen;59.348407017631;18.064762958536
Johannes skola;59350829;18053530;200110240;1095;7446045;Johannes skola;59.350828182982;18.053529161517
Albano;59357373;18056757;200169009;1096;7468909;Albano;59.356819998119;18.056000671447
Frejgatan;59348105;18058501;200110103;1097;7445995;Frejgatan (på Roslagsgatan);59.347950896882;18.058947892361
Universitetsvägen;59362218;18057099;200110237;1098;7446043;Universitetsvägen;59.362113478619;18.057828725258
Roslagstull (på Ingemarsgatan);59349399;18058393;200110575;1099;7446136;Roslagstull (på Ingemarsgatan);59.349397562328;18.05837557743
Djurgårdsbron;59331735;18092633;200110224;1100;7446036;Stockholm Djurgårdsbron;59.331823040543;18.093486013901
Nybroplan;59332652;18076920;200110298;1101;7419408;Stockholm Nybroplan;59.332729828004;18.076551825215
Fredrikshovsgatan;59334207;18095249;200110094;1102;7445990;Fredrikshovsgatan;59.334200941081;18.095122284045
Historiska museet;59334333;18091636;200110092;1103;7445989;Historiska museet;59.33467700586;18.09153362284
Grevgatan;59335232;18085154;200110090;1104;7445988;Grevgatan;59.335724937674;18.086049790732
Nybroplan;59332652;18076920;200110298;1105;7419408;Stockholm Nybroplan;59.332729828004;18.076551825215
Sibyllegatan;59336554;18081550;200110088;1106;7445987;Sibyllegatan;59.336945062596;18.081491164818
Styrmansgatan;59331493;18085505;200110302;1107;7446065;Stockholm Styrmansgatan;59.331583078301;18.084629872421
Nybroplan;59332652;18076920;200110298;1108;7419408;Stockholm Nybroplan;59.332729828004;18.076551825215
Stadion;59340806;18081945;200102211;1109;7445963;Nybrogatan;59.340496351598;18.081763916479
Radiohuset;59335942;18099213;200110098;1110;7445992;Radiohuset;59.33556444931;18.100311273944
Hakberget;59338387;18102009;200110046;1111;7445968;Hakberget;59.338319278957;18.101446310805
Radiohuset;59335942;18099213;200110098;1112;7445992;Radiohuset;59.33556444931;18.100311273944
Garnisonen;59336572;18095105;200110627;1113;7446150;Garnisonen;59.336680496005;18.095060641122
Banérgatan;59338954;18096175;200110203;1114;7446032;Banérgatan;59.337825491194;18.095313473651
Värtavägen;59340365;18093272;200110045;1115;7445965;Valhallavägen/Erik Dahlbergsga;59.339953303892;18.093804276122
Skeppargatan;59338684;18085927;200110042;1116;7445966;Skeppargatan;59.338546927062;18.086432315851
Oxenstiernsgatan;59337408;18102171;200110047;1117;7445969;Oxenstiernsgatan;59.337408738408;18.102158280584
Ruddammsparken;59351970;18063400;200110036;1118;7445962;Ruddammsparken;59.351896946277;18.063394605295
Radiohuset;59335942;18099213;200110098;1119;7445992;Radiohuset;59.33556444931;18.100311273944
Stadion;59340806;18081945;200102211;1120;7445963;Nybrogatan;59.340496351598;18.081763916479
Stadion;59340806;18081945;200102211;1121;7445963;Nybrogatan;59.340496351598;18.081763916479
Stadion;59340806;18081945;200102211;1122;7445963;Nybrogatan;59.340496351598;18.081763916479
Stadion;59340806;18081945;200102211;1123;7445963;Nybrogatan;59.340496351598;18.081763916479
Jungfrugatan;59341776;18085685;200110040;1124;7445964;Jungfrugatan;59.341931715892;18.085956079246
Stadion;59340806;18081945;200102211;1125;7445963;Nybrogatan;59.340496351598;18.081763916479
Stadion (på Valhallavägen);59343952;18077091;200110199;1126;7420741;Stockholm Stadion;59.343779309023;18.077342276895
Linnégatan;59338666;18074907;200110033;1127;7445960;Linnégatan;59.338667526261;18.074891536433
Humlegården (på Karlavägen);59340671;18075850;200110034;1128;7445961;Humlegården (på Karlavägen);59.34047375826;18.076365619255
Grev Turegatan;59338172;18077037;200110086;1129;7445986;Grev Turegatan;59.338092050289;18.076997648191
Rindögatan;59347350;18093496;200110928;1130;7446219;Rindögatan;59.347496170397;18.093309563829
Tessinparken;59345201;18093523;200110925;1131;7446218;Tessinparken;59.345196314725;18.093365841343
Kallskärsgatan;59343817;18092373;200110923;1132;7446217;Kallskärsgatan;59.343081628563;18.092080868816
Erik Dahlbergsgatan;59341722;18091114;200110921;1133;7446216;Erik Dahlbergsgatan/Valhallavä;59.341725016578;18.09109310601
Tegeluddsvägen;59350001;18096993;200110064;1134;7445978;Tegeluddsvägen;59.350131809487;18.097654338032
Erik Dahlbergsgatan;59348896;18093739;200110847;1135;7446204;Erik Dahlbergsgatan (på Liding;59.348656882131;18.092666729391
Starrbäcksängen;59347044;18086530;200110919;1136;7446215;Starrbäcksängen;59.347169662379;18.087344668877
Tennisstadion;59348401;18081343;200110716;1137;7446174;Tennisstadion;59.34850774475;18.08117479959
